X,Y,Theta
-20,79,-15
-19.85,79.08,-14.91
-19.7,79.15,-14.82
-19.55,79.23,-14.73
-19.4,79.3,-14.64
-19.25,79.38,-14.55
-19.1,79.45,-14.46
-18.95,79.53,-14.37
-18.8,79.6,-14.28
-18.65,79.68,-14.19
-18.5,79.75,-14.1
-18.35,79.83,-14.01
-18.2,79.9,-13.92
-18.05,79.98,-13.83
-17.9,80.05,-13.74
-17.75,80.13,-13.65
-17.6,80.2,-13.56
-17.45,80.28,-13.47
-17.3,80.35,-13.38
-17.15,80.43,-13.29
-17,80.5,-13.2
-16.85,80.58,-13.11
-16.7,80.65,-13.02
-16.55,80.73,-12.93
-16.4,80.8,-12.84
-16.25,80.88,-12.75
-16.1,80.95,-12.66
-15.95,81.03,-12.57
-15.8,81.1,-12.48
-15.65,81.18,-12.39
-15.5,81.25,-12.3
-15.35,81.33,-12.21
-15.2,81.4,-12.12
-15.05,81.48,-12.03
-14.9,81.55,-11.94
-14.75,81.63,-11.85
-14.6,81.7,-11.76
-14.45,81.78,-11.67
-14.3,81.85,-11.58
-14.15,81.93,-11.49
-14,82,-11.4
-13.85,82.08,-11.31
-13.7,82.15,-11.22
-13.55,82.23,-11.13
-13.4,82.3,-11.04
-13.25,82.38,-10.95
-13.1,82.45,-10.86
-12.95,82.53,-10.77
-12.8,82.6,-10.68
-12.65,82.68,-10.59
-12.5,82.75,-10.5
-12.35,82.83,-10.41
-12.2,82.9,-10.32
-12.05,82.98,-10.23
-11.9,83.05,-10.14
-11.75,83.13,-10.05
-11.6,83.2,-9.96
-11.45,83.28,-9.87
-11.3,83.35,-9.78
-11.15,83.43,-9.69
-11,83.5,-9.6
-10.85,83.58,-9.51
-10.7,83.65,-9.42
-10.55,83.73,-9.33
-10.4,83.8,-9.24
-10.25,83.88,-9.15
-10.1,83.95,-9.06
-9.97,84.01,-8.98
-9.9,84.02,-8.92
-9.82,84.04,-8.86
-9.75,84.05,-8.8
-9.67,84.07,-8.74
-9.6,84.08,-8.68
-9.52,84.1,-8.62
-9.45,84.11,-8.56
-9.37,84.13,-8.5
-9.3,84.14,-8.44
-9.22,84.16,-8.38
-9.15,84.17,-8.32
-9.07,84.19,-8.26
-9,84.2,-8.2
-8.92,84.22,-8.14
-8.85,84.23,-8.08
-8.77,84.25,-8.02
-8.7,84.26,-7.96
-8.62,84.28,-7.9
-8.55,84.29,-7.84
-8.47,84.31,-7.78
-8.4,84.32,-7.72
-8.32,84.34,-7.66
-8.25,84.35,-7.6
-8.17,84.37,-7.54
-8.1,84.38,-7.48
-8.02,84.4,-7.42
-7.95,84.41,-7.36
-7.87,84.43,-7.3
-7.8,84.44,-7.24
-7.72,84.46,-7.18
-7.65,84.47,-7.12
-7.57,84.49,-7.06
-7.5,84.5,-7
-7.42,84.52,-6.94
-7.35,84.53,-6.88
-7.27,84.55,-6.82
-7.2,84.56,-6.76
-7.12,84.58,-6.7
-7.05,84.59,-6.64
-6.97,84.61,-6.58
-6.9,84.62,-6.52
-6.82,84.64,-6.46
-6.75,84.65,-6.4
-6.67,84.67,-6.34
-6.6,84.68,-6.28
-6.52,84.7,-6.22
-6.45,84.71,-6.16
-6.37,84.73,-6.1
-6.3,84.74,-6.04
-6.22,84.76,-5.98
-6.15,84.77,-5.92
-6.07,84.79,-5.86
-6,84.8,-5.8
-5.92,84.82,-5.74
-5.85,84.83,-5.68
-5.77,84.85,-5.62
-5.7,84.86,-5.56
-5.62,84.88,-5.5
-5.55,84.89,-5.44
-5.47,84.91,-5.38
-5.4,84.92,-5.32
-5.32,84.94,-5.26
-5.25,84.95,-5.2
-5.17,84.97,-5.14
-5.1,84.98,-5.08
-5.02,85,-5.02
-4.94,85.01,-4.94
-4.87,85.03,-4.87
-4.79,85.04,-4.79
-4.72,85.06,-4.72
-4.64,85.07,-4.64
-4.57,85.09,-4.57
-4.49,85.1,-4.49
-4.42,85.12,-4.42
-4.34,85.13,-4.34
-4.27,85.15,-4.27
-4.19,85.16,-4.19
-4.12,85.18,-4.12
-4.04,85.19,-4.04
-3.97,85.21,-3.97
-3.89,85.22,-3.89
-3.82,85.24,-3.82
-3.74,85.25,-3.74
-3.67,85.27,-3.67
-3.59,85.28,-3.59
-3.52,85.3,-3.52
-3.44,85.31,-3.44
-3.37,85.33,-3.37
-3.29,85.34,-3.29
-3.22,85.36,-3.22
-3.14,85.37,-3.14
-3.07,85.39,-3.07
-2.99,85.4,-2.99
-2.92,85.42,-2.92
-2.84,85.43,-2.84
-2.77,85.45,-2.77
-2.69,85.46,-2.69
-2.62,85.48,-2.62
-2.54,85.49,-2.54
-2.47,85.51,-2.47
-2.39,85.52,-2.39
-2.32,85.54,-2.32
-2.24,85.55,-2.24
-2.17,85.57,-2.17
-2.09,85.58,-2.09
-2.02,85.6,-2.02
-1.94,85.61,-1.94
-1.87,85.63,-1.87
-1.79,85.64,-1.79
-1.72,85.66,-1.72
-1.64,85.67,-1.64
-1.57,85.69,-1.57
-1.49,85.7,-1.49
-1.42,85.72,-1.42
-1.34,85.73,-1.34
-1.27,85.75,-1.27
-1.19,85.76,-1.19
-1.12,85.78,-1.12
-1.04,85.79,-1.04
-0.97,85.81,-0.97
-0.89,85.82,-0.89
-0.82,85.84,-0.82
-0.74,85.85,-0.74
-0.67,85.87,-0.67
-0.59,85.88,-0.59
-0.52,85.9,-0.52
-0.44,85.91,-0.44
-0.37,85.93,-0.37
-0.29,85.94,-0.29
-0.22,85.96,-0.22
-0.14,85.97,-0.14
-0.07,85.99,-0.07
0.01,86,0.02
0.12,85.98,0.2
0.22,85.97,0.38
0.33,85.95,0.56
0.43,85.94,0.74
0.54,85.92,0.92
0.64,85.91,1.1
0.75,85.89,1.28
0.85,85.88,1.46
0.96,85.86,1.64
1.06,85.85,1.82
1.17,85.83,2
1.27,85.82,2.18
1.38,85.8,2.36
1.48,85.79,2.54
