X,Y
-20.0,79.0
-19.85,79.08
-19.7,79.15
-19.55,79.23
-19.4,79.3
-19.25,79.38
-19.1,79.45
-18.95,79.53
-18.8,79.6
-18.65,79.68
-18.5,79.75
-18.35,79.83
-18.2,79.9
-18.05,79.98
-17.9,80.05
-17.75,80.13
-17.6,80.2
-17.45,80.28
-17.3,80.35
-17.15,80.43
-17.0,80.5
-16.85,80.58
-16.7,80.65
-16.55,80.73
-16.4,80.8
-16.25,80.88
-16.1,80.95
-15.95,81.03
-15.8,81.1
-15.65,81.18
-15.5,81.25
-15.35,81.33
-15.2,81.4
-15.05,81.48
-14.9,81.55
-14.75,81.63
-14.6,81.7
-14.45,81.78
-14.3,81.85
-14.15,81.93
-14.0,82.0
-13.85,82.08
-13.7,82.15
-13.55,82.23
-13.4,82.3
-13.25,82.38
-13.1,82.45
-12.95,82.53
-12.8,82.6
-12.65,82.68
-12.5,82.75
-12.35,82.83
-12.2,82.9
-12.05,82.98
-11.9,83.05
-11.75,83.13
-11.6,83.2
-11.45,83.28
-11.3,83.35
-11.15,83.43
-11.0,83.5
-10.85,83.58
-10.7,83.65
-10.55,83.73
-10.4,83.8
-10.25,83.88
-10.1,83.95
-9.97,84.01
-9.9,84.02
-9.82,84.04
-9.75,84.05
-9.67,84.07
-9.6,84.08
-9.52,84.1
-9.45,84.11
-9.37,84.13
-9.3,84.14
-9.22,84.16
-9.15,84.17
-9.07,84.19
-9.0,84.2
-8.92,84.22
-8.85,84.23
-8.77,84.25
-8.7,84.26
-8.62,84.28
-8.55,84.29
-8.47,84.31
-8.4,84.32
-8.32,84.34
-8.25,84.35
-8.17,84.37
-8.1,84.38
-8.02,84.4
-7.95,84.41
-7.87,84.43
-7.8,84.44
-7.72,84.46
-7.65,84.47
-7.57,84.49
-7.5,84.5
-7.42,84.52
-7.35,84.53
-7.27,84.55
-7.2,84.56
-7.12,84.58
-7.05,84.59
-6.97,84.61
-6.9,84.62
-6.82,84.64
-6.75,84.65
-6.67,84.67
-6.6,84.68
-6.52,84.7
-6.45,84.71
-6.37,84.73
-6.3,84.74
-6.22,84.76
-6.15,84.77
-6.07,84.79
-6.0,84.8
-5.92,84.82
-5.85,84.83
-5.77,84.85
-5.7,84.86
-5.62,84.88
